datetime,tempmax,tempmin,precip,precipcover,snow,snowdepth,cloudcover,solarradiation,solarenergy
2018-06-14,84.4,53.2,0,0,0,0,21.8,191.7,16.6
2018-06-15,87.3,50,0,0,0,0,11.5,220.4,18.9
2018-06-16,75.1,59.3,0.362,37.5,0,0,83.3,86,7.3
2018-06-17,75.9,55.5,0.985,33.33,0,0,76.1,240.3,20.8
2018-06-18,82.9,50.2,0,0,0,0,2.9,308.5,26.6
2018-06-19,84,48.8,0,0,0,0,0,184.5,16
2018-06-20,87.2,47.2,0,0,0,0,0,316.1,27.3
2018-06-21,92.1,48.7,0,0,0,0,0,353,30.4
2018-06-22,91.2,51.7,0,0,0,0,0,349.8,30.4
2018-06-23,90.1,48.3,0,0,0,0,0,393.5,34.1
2018-06-24,86.4,50,0,0,0,0,0,337,29
2018-06-25,89.3,45.8,0,0,0,0,0,328.5,28.5
2018-06-26,94.3,49,0,0,0,0,0,351.7,30.5
2018-06-27,96.3,50.9,0,0,0,0,0,335.7,29.2
2018-06-28,94,49.8,0,0,0,0,0,349.8,30.3
2018-06-29,88.7,51,0,0,0,0,0,274.9,23.6
2018-06-30,87.4,51,0,0,0,0,0,277.4,24
2018-07-01,89.2,49.3,0,0,0,0,0,314.5,27
2018-07-02,92.1,48.1,0,0,0,0,0,213.3,18.4
2018-07-03,89.2,54.4,0,0,0,0,0,300,25.8
2018-07-04,91.8,53,0,0,0,0,0,330.3,28.5
2018-07-05,93.2,59.9,0.14,12.5,0,0,28.2,250.3,21.7
2018-07-06,88.7,57,0.183,12.5,0,0,18.3,228.2,19.6
2018-07-07,90.7,58.1,0.005,12.5,0,0,3.5,130.7,11.3
2018-07-08,89.9,56.7,0,0,0,0,11,221.5,19.2
2018-07-09,90.5,54.6,0.023,8.33,0,0,17.3,195.8,17
2018-07-10,89.7,57.3,0.186,4.17,0,0,4.8,259.1,22.3
2018-07-11,86.2,57.3,0.025,12.5,0,0,14,170.1,14.5
2018-07-12,86.5,57.8,0,0,0,0,30.7,174.8,15.1
2018-07-13,85.9,59,0.149,8.33,0,0,25.5,78.2,6.6
2018-07-14,86.2,63,0,0,0,0,19.3,232.3,20
2018-07-15,86.7,60.2,0,0,0,0,23.8,258.8,22.3
2018-07-16,89,60.3,0.108,4.17,0,0,34.7,224.8,19.3
2018-07-17,88.9,57.6,0.275,8.33,0,0,16.3,334.2,28.8
2018-07-18,91.3,56.6,0,0,0,0,3.8,264.3,22.8
2018-07-19,97.1,59.9,0,0,0,0,0,158.8,13.7
2018-07-20,91.2,68,0,0,0,0,10.6,207.6,18
2018-07-21,94,61.6,0,0,0,0,13.3,235.8,20.4
2018-07-22,93.2,60.6,0,0,0,0,2,171,14.7
