"sep=,"
Version CSV3|Tool WebUI|Linebreaks CR/LF|Delimiter comma,,,,,,
,,,,,,
,SB6.0-1SP-US-40 364,SB6.0-1SP-US-40 364,SB6.0-1SP-US-40 364,SB6.0-1SP-US-40 364,SB6.0-1SP-US-40 364,SB6.0-1SP-US-40 364
,Sunny Boy 6.0,Sunny Boy 6.0,Sunny Boy 6.0,Sunny Boy 6.0,Sunny Boy 6.0,Sunny Boy 6.0
,1990031364,1990031364,1990031364,1990031364,1990031364,1990031364
,Metering.TotWhOut,Metering.GridMs.TotWhOut,Metering.GridMs.AbsWhOut,Metering.GridMs.TotWhIn,Metering.GridMs.AbsWhIn,Metering.TotS0
,Analog,Analog,Analog,Analog,Analog,Analog
DD.MM.YYYY hh:mm:ss,[Wh],[Wh],[Wh],[Wh],[Wh],
14.06.2018 01:00:00,0,NaN,NaN,NaN,NaN,0
15.06.2018 01:00:00,3053,NaN,NaN,NaN,NaN,0
16.06.2018 01:00:00,8110,NaN,NaN,NaN,NaN,0
17.06.2018 01:00:00,26561,NaN,NaN,NaN,NaN,0
18.06.2018 01:00:00,43441,NaN,NaN,NaN,NaN,0
19.06.2018 01:00:00,70833,NaN,NaN,NaN,NaN,0
20.06.2018 01:00:00,84447,NaN,NaN,NaN,NaN,0
21.06.2018 01:00:00,103991,NaN,NaN,NaN,NaN,0
22.06.2018 01:00:00,137450,NaN,NaN,NaN,NaN,0
23.06.2018 01:00:00,173429,NaN,NaN,NaN,NaN,0
24.06.2018 01:00:00,207733,NaN,NaN,NaN,NaN,0
25.06.2018 01:00:00,242796,NaN,NaN,NaN,NaN,0
26.06.2018 01:00:00,277785,NaN,NaN,NaN,NaN,0
27.06.2018 01:00:00,312742,NaN,NaN,NaN,NaN,0
28.06.2018 01:00:00,347970,NaN,NaN,NaN,NaN,0
29.06.2018 01:00:00,383419,NaN,NaN,NaN,NaN,0
30.06.2018 01:00:00,418824,NaN,NaN,NaN,NaN,0
01.07.2018 01:00:00,453620,NaN,NaN,NaN,NaN,0
02.07.2018 01:00:00,489508,NaN,NaN,NaN,NaN,0
